Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
tusA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tusA	3608751	3608996	-	tusA
ybiJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiJ	837665	837925	-	ybiJ
yncJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yncJ	1508834	1509064	-	yncJ
lysU	lysUp2	4354797		lysU	4353200	4354717	-	lysU
hldE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hldE	3195320	3196753	-	hldE
yedEF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedF // yedE	2009479 // 2008277	2009712 // 2009482	+	yedEF
tesB	tesBp	475201		tesB	474301	475161	-	tesB
ybjJI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybjJ // ybjI	886131 // 885316	887339 // 886131	-	ybjJI
clpA	clpAp2	923092		clpA	923264	925540	+	clpA
yqjF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqjF	3250562	3250954	+	yqjF
mtfA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mtfA	2043651	2044448	+	mtfA
ycaP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycaP	956762	957454	+	ycaP
deaD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		deaD	3305971	3307860	-	deaD
yeeA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeA	2079533	2080591	-	yeeA
ybeL	ybeLp	674993		ybeL	675018	675500	+	ybeL
yggX	yggXp	3103993		yggX	3104093	3104368	+	yggX
ygdD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygdD	2941236	2941631	-	ygdD
ptsHI-crr	ptsHp5	2533498		ptsH // ptsI // crr	2533764 // 2534066 // 2535834	2534021 // 2535793 // 2536343	+	ptsHI-crr
zapE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		zapE	3378870	3379997	-	zapE
yhbY	yhbYp	3327759		yhbY	3327790	3328083	+	yhbY
ymdE-ycdU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycdU // ymdE	1095843 // 1095544	1096829 // 1095846	+	ymdE-ycdU
ymbA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pqiC	1014896	1015459	+	ymbA
yicS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yicS	3840215	3840508	+	yicS
rluC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rluC	1144940	1145899	+	rluC
ytfE	ytfEp	4432009		ytfE	4431321	4431983	-	ytfE
diaA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		diaA	3295809	3296399	+	diaA
hslO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hslO	3529774	3530652	+	hslO
sanA-yeiS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeiS // sanA	2233600 // 2232878	2233839 // 2233597	+	sanA-yeiS
queG	queGp	4394092		queG	4392928	4394067	-	queG // yjeS
ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	1208132 // 1207501 // 1206913 // 1206131 // 1205731 // 1205549 // 1204170 // 1203822 // 1203268 // 1203024	1208545 // 1208130 // 1207497 // 1206922 // 1206204 // 1205731 // 1205537 // 1204160 // 1203825 // 1203224	+	ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP
moaABCDE	moaAp2	816914		moaE // moaD // moaC // moaB // moaA	819295 // 819048 // 818570 // 818055 // 817044	819747 // 819293 // 819055 // 818567 // 818033	+	moaABCDE
cueO	cueOp	137045		cueO	137083	138633	+	cueO
insH-2		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insH2	574737	575717	-	insH-2
rhsB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rhsB	3619192	3623427	+	rhsB
rsuA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rsuA	2279788	2280483	-	rsuA
yjjN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lgoD	4595990	4597012	+	yjjN
ymgGD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ymgG // ymgD	1222644 // 1222305	1222988 // 1222634	-	ymgGD
serB-radA	serBp	4624856		radA // serB	4625912 // 4624895	4627294 // 4625863	+	serB-radA
ygaC	ygaCp	2800590		ygaC	2799650	2799994	-	ygaC
insJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insJ	3720680	3721201	+	insJ
msrA	msrAp	4442261		msrA	4441538	4442176	-	msrA
elaB	elaBp	2381053		elaB	2380722	2381027	-	elaB
yoaH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yoaH	1894552	1894731	-	yoaH
ychJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ychJ	1288674	1289132	-	ychJ
yaaW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaaW	10643	11356	-	yaaW
avtA	avtAp	3739674		avtA	3739705	3740958	+	avtA
yfcF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfcF	2419841	2420485	-	yfcF
ytfA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ytfA	4427694	4428095	+	ytfA
sapABCDF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sapA // sapB // sapC // sapD // sapF	1355467 // 1354505 // 1353628 // 1352636 // 1351828	1357110 // 1355470 // 1354518 // 1353628 // 1352634	-	sapABCDF
uof-fur	uofp	710829		uof // fur	710639 // 710200	710725 // 710646	-	uof-fur
sroA	sroAp	75608		sroA	75516	75608	-	sroA
yfdPQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfdQ // yfdP	2474032 // 2473604	2474856 // 2473966	+	yfdPQ
yccX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yccX	1030064	1030342	+	yccX
zntB	zntBp	1408024		zntB	1408050	1409033	+	zntB
nanCM	nanCp	4539928		nanM // nanC	4537659 // 4538785	4538765 // 4539501	-	nanCM
yaeI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaeI	184257	185069	-	yaeI
dgkA	dgkAp1	4256457		dgkA	4256637	4257005	+	dgkA
hupA	hupAp	4200176		hupA	4200281	4200553	+	hupA
yidKJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidK // yidJ	3858401 // 3856911	3860116 // 3858404	-	yidKJ
zipA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		zipA	2530247	2531233	-	zipA
ydbJ	ydbJp	1441029		ydbJ	1441058	1441324	+	ydbJ
ompN	ompNp	1437013		ompN	1435760	1436893	-	ompN
hcp-hcr	hcpp1	913845		hcr // hcp	911182 // 912162	912150 // 913814	-	hcp-hcr
yafT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yafT	237335	238120	+	yafT
ravA-viaA	ravAp	3931128		ravA // viaA	3929597 // 3928152	3931093 // 3929603	-	ravA-viaA
ypfG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypfG	2581734	2582777	-	ypfG
yebQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yebQ	1910276	1911649	+	yebQ
mokB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mokB	1491962	1492129	-	mokB
moaBCDE	moaBp	817977		moaE // moaD // moaC // moaB	819295 // 819048 // 818570 // 818055	819747 // 819293 // 819055 // 818567	+	moaBCDE
ykfA-yafZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ykfA // yafZ	268097 // 267184	268960 // 268005	-	ykfA-yafZ
glxK	glxKp			glxK	541888	543033	+	glxK
rhtC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rhtC	4007757	4008377	+	rhtC
sseB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sseB	2654157	2654933	-	sseB
yfbK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfbK	2383995	2385722	-	yfbK
curA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		curA	1519027	1520064	+	curA
paoABCD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		paoA // paoB // paoC // paoD	301884 // 300931 // 298736 // 297770	302573 // 301887 // 300934 // 298726	-	paoABCD
selD-topB	selDp1	1848024		topB // selD	1844999 // 1846965	1846960 // 1848008	-	selD-topB
yihPO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yihP // yihO	4065809 // 4064363	4067194 // 4065766	-	yihPO
yfiM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfiM	2724128	2724451	+	yfiM
ygdI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygdI	2942918	2943145	-	ygdI
pqqL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pqqL	1572407	1575202	-	pqqL
rstAB	rstAp	1682138		rstB // rstA	1682882 // 1682159	1684183 // 1682878	+	rstAB
yahDEFG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yahG // yahF // yahE // yahD	338325 // 336778 // 335925 // 335280	339743 // 338325 // 336788 // 335885	+	yahDEFG
tyrV-tpr	tyrVp			tpr // tyrV	1287087 // 1287244	1287176 // 1287328	-	tyrV-tpr
yiiR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yiiR	4112315	4112755	+	yiiR
abpAB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		abpA // abpB	2763537 // 2761351	2765153 // 2763540	-	abpAB
acpH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		acpH	424337	424918	-	acpH
yneJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ptrR	1614804	1615685	+	yneJ
tgt-yajC	tgtp	426055		yajC // tgt	427287 // 426137	427619 // 427264	+	tgt-yajC
yjbB	yjbBp	4227602		yjbB	4227731	4229362	+	yjbB
ddlA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ddlA	399829	400923	-	ddlA
ydfUT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydfU // ydfT	1643255 // 1642489	1644304 // 1643241	-	ydfUT
ybaV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybaV	463937	464308	+	ybaV
yjcF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjcF	4281783	4283075	-	yjcF
nikABCDER	nikAp1	3613628		nikR // nikA // nikB // nikC // nikD // nikE	3618588 // 3613667 // 3615241 // 3616182 // 3617015 // 3617776	3618989 // 3615241 // 3616185 // 3617015 // 3617779 // 3618582	+	nikABCDER
guaC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		guaC	113444	114487	+	guaC
ynfK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		bidA	1666524	1667219	-	ynfK
ucpA	ucpAp2	2544671		ucpA	2543832	2544623	-	ucpA
yjeJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjeJ	4373365	4374234	-	yjeJ
tcdA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tcdA	2945036	2945842	-	tcdA
mrcA	mrcAp	3522826		mrcA	3522871	3525423	+	mrcA
sfmCD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sfmD // sfmC	559697 // 558974	562300 // 559666	+	sfmCD
fabF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		fabF	1151939	1153180	+	fabF
kup	kupp3	3931265		kup	3931316	3933184	+	kup
ytfF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ytfF	4432091	4433056	-	ytfF
yqeIJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqeJ // yqeI	2989304 // 2988502	2989786 // 2989311	+	yqeIJ
intG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		intG	2012502	2012780	+	intG
ydiM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydiM	1771071	1772285	+	ydiM
ybdG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybdG	603416	604663	-	ybdG
mepS	mepSp2	2269811		mepS	2269979	2270545	+	mepS
lptFG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lptG // lptF	4487318 // 4486218	4488400 // 4487318	+	lptFG
yqeA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqeA	3011461	3012393	+	yqeA
pdxH-tyrS-pdxY	pdxHp	1718034		pdxY // tyrS // pdxH	1715026 // 1715948 // 1717351	1715889 // 1717222 // 1718007	-	pdxH-tyrS-pdxY
ynjE	ynjEp	1839440		ynjE	1839467	1840774	+	ynjE
ybeM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybeM	658031	658818	+	ybeM
sgcXBCQAER		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	4530530 // 4530255 // 4528930 // 4528111 // 4527549 // 4526905 // 4526106	4531651 // 4530533 // 4530243 // 4528917 // 4527980 // 4527537 // 4526888	-	sgcXBCQAER
zapA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		zapA	3055612	3055941	+	zapA
yeaQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeaQ	1879007	1879255	-	yeaQ
miaB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		miaB	693531	694955	-	miaB
cdaR	cdaRp	182447		cdaR	182463	183620	+	cdaR // sdaR
uxaCA	uxaCp1	3244843		uxaA // uxaC	3241827 // 3243329	3243314 // 3244741	-	uxaCA
lgoT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lgoT	4593361	4594722	-	lgoT
stpA	stpAp3	2798578		stpA	2798091	2798495	-	stpA
yghG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghG	3113067	3113477	-	yghG
rlmA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rlmA	1906251	1907060	-	rlmA
proC	proCp	405686		proC	404835	405644	-	proC
lysQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lysQ	781577	781652	+	lysQ
lacZYA	lacZp2	366365		lacA // lacY // lacZ	361249 // 361926 // 363231	361860 // 363179 // 366305	-	lacZYA
qorA	qorAp	4264304		qorA	4263248	4264231	-	qorA
plsC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plsC	3162744	3163481	-	plsC
lpxM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lpxM	1939222	1940193	-	lpxM
ybjX	ybjXp	919103		ybjX	918128	919120	-	ybjX
gntT	gntTp2	3546446		gntT	3546559	3547875	+	gntT
ymdF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ymdF	1068081	1068254	+	ymdF
uspA	uspAp2	3639998		uspA	3640111	3640545	+	uspA
ebgR	ebgRp	3221437		ebgR	3221466	3222449	+	ebgR
yedN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedN	2011223	2012351	-	yedN
ybjO-rlmC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rlmC // ybjO	898518 // 897989	899645 // 898477	+	ybjO-rlmC
uidABC	uidAp	1696152		uidC // uidB // uidA	1691586 // 1692890 // 1694260	1692851 // 1694263 // 1696071	-	uidABC
yhaI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhaI	3252911	3253267	+	yhaI
yeeN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeN	2056858	2057574	+	yeeN
yagU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yagU	302991	303605	+	yagU
CsiR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		glaR	2795674	2796336	+	CsiR
folP-glmM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		folP // glmM	3324063 // 3322733	3324911 // 3324070	-	folP-glmM
yeeED	yeeEp	2085552		tsuA // tsuB	2084467 // 2084226	2085525 // 2084453	-	yeeED
dtpD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dtpD	741075	742556	-	dtpD // ybgH
arcB	arcBp	3353049		arcB	3350689	3353025	-	arcB
rlmL-uup	rlmLp	1007672		rlmL // uup	1007844 // 1009964	1009952 // 1011871	+	rlmL-uup
frwD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		frwD	4147138	4147479	+	frwD
ptsHI-crr	ptsHp1	2533608		ptsH // ptsI // crr	2533764 // 2534066 // 2535834	2534021 // 2535793 // 2536343	+	ptsHI-crr
yhcN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhcN	3385538	3385801	+	yhcN
yhgN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhgN	3575071	3575664	+	yhgN
secG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		secG	3322173	3322505	-	secG
slyD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		slyD	3477907	3478497	-	slyD
yehLMPQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yehQ // yehP // yehM // yehL	2209100 // 2207967 // 2205695 // 2204596	2210944 // 2209103 // 2207974 // 2205684	+	yehLMPQ
yidP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidP	3863899	3864615	+	yidP
ycfJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycfJ	1167599	1168138	+	ycfJ
rpmF-plsX-fabHDG	rpmFp	1147338		fabG // fabD // fabH // plsX // rpmF	1150670 // 1149728 // 1148759 // 1147621 // 1147367	1151404 // 1150657 // 1149712 // 1148691 // 1147540	+	rpmF-plsX-fabHDG
galF	galFp	2114351		galF	2113434	2114327	-	galF
rpnA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rpnA	3543167	3544045	+	rpnA
yeiE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeiE	2248737	2249618	-	yeiE
yjfZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjfZ	4426628	4427422	-	yjfZ
mcrA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mcrA	1210346	1211179	+	mcrA
xdhABC	xdhAp1	3000257		xdhB // xdhC // xdhA	3002614 // 3003489 // 3000345	3003492 // 3003968 // 3002603	+	xdhABC
ybgTE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybgE // cydX	774309 // 774196	774602 // 774309	+	ybgTE
putP	putPp3	1079185		putP	1079305	1080813	+	putP
yhhI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhI	3624378	3625514	+	yhhI
yejLM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lapC // yejL	2284376 // 2284129	2286136 // 2284356	+	yejLM
ykgL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ykgL	312112	312339	+	ykgL
ycgM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgM	1228079	1228738	+	ycgM
eda	edap2	1932799		eda	1932115	1932756	-	eda
elaD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		elaD	2382713	2383924	+	elaD
yodD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yodD	2024986	2025213	+	yodD
yciI	yciIp	1310892		yciI	1310569	1310865	-	yciI
tesA-ybbO	tesAp	519949		ybbO // tesA	518340 // 519139	519149 // 519765	-	tesA-ybbO
sokC	sokCp	16952		sokC	16952	17010	+	sokC
glnD	glnDp	188655		glnD	185978	188650	-	glnD
yiaY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yiaY	3756676	3757827	-	yiaY
rpnB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rpnB	2422649	2423539	-	rpnB
ytjC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ytjC	4633797	4634444	+	ytjC
nadC	nadCp	118663		nadC	117752	118645	-	nadC
glpGR	glpGp	3561480		glpR // glpG	3559848 // 3560622	3560605 // 3561452	-	glpGR
dinD	dinDp	3817699		dinD	3817760	3818584	+	dinD
torI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		torI	2476310	2476510	+	torI
comR	comRp	1168844		comR	1168200	1168832	-	comR // ycfQ
racC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		racC	1417488	1417763	-	racC
ilvIH	ilvIp2	85540		ilvH // ilvI	87357 // 85630	87848 // 87354	+	ilvIH
dxr-uppS-cdsA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cdsA // ispU // dxr	195677 // 194903 // 193521	196534 // 195664 // 194717	+	dxr-uppS-cdsA
dgoRKADT	dgoRp	3875185		dgoR // dgoK // dgoA // dgoD // dgoT	3874471 // 3873596 // 3872995 // 3871850 // 3870438	3875160 // 3874474 // 3873612 // 3872998 // 3871730	-	dgoRKADT
ydcK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydcK	1499469	1500449	-	ydcK
yafJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yafJ	244327	245094	+	yafJ
ppiC	ppiCp	3959841		ppiC	3959532	3959813	-	ppiC
narQ	narQp	2585577		narQ	2585731	2587431	+	narQ
yedA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedA	2029539	2030459	+	yedA
opgD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		opgD	1496856	1498511	+	opgD
kdgK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kdgK	3679419	3680348	+	kdgK
ykfC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ykfC	272847	273992	+	ykfC
gadC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		gadC	1568954	1570489	-	gadC
cysH	cysHp			cysH	2887578	2888312	-	cysH
rmuC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rmuC	4017333	4018760	+	rmuC
suhB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		suhB	2663442	2664245	+	suhB
yfdY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfdY	2495050	2495292	-	yfdY
yncH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yncH	1526940	1527152	+	yncH
rrlE-rrfE	rrlEp			rrfE // rrlE	4213040 // 4210043	4213159 // 4212946	+	rrlE-rrfE
yihUTS	yihUp1	4073586		yihU // yihT // yihS	4072675 // 4071773 // 4070515	4073571 // 4072651 // 4071756	-	yihUTS
dnaAN-recF	dnaAp1	3883961		recF // dnaN // dnaA	3880148 // 3881221 // 3882326	3881221 // 3882321 // 3883729	-	dnaAN-recF
yggR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yggR	3094100	3095080	-	yggR
ydeN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydeN	1580842	1582524	-	ydeN
rob	robp	4635353		rob	4634441	4635310	-	rob
yahK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yahK	342884	343933	+	yahK
phnLMNOP	phnLp			phnP // phnO // phnN // phnM // phnL	4314344 // 4315104 // 4315525 // 4316082 // 4317215	4315102 // 4315538 // 4316082 // 4317218 // 4317895	-	phnLMNOP
yijE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yijE	4136108	4137013	+	yijE
yfjR-ypjK-yfjS-yfjT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfjT // yfjS // ypjK // yfjR	2771148 // 2770681 // 2770445 // 2769703	2771615 // 2771124 // 2770681 // 2770404	+	yfjR-ypjK-yfjS-yfjT
amiC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		amiC	2947757	2949010	-	amiC
tpiA	tpiAp1	4111524		tpiA	4110740	4111507	-	tpiA
yaiI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaiI	405764	406222	+	yaiI
acnB	acnBp2	131564		acnB	131615	134212	+	acnB
yjbFGH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjbH // yjbG // yjbF	4237634 // 4236897 // 4236262	4239730 // 4237634 // 4236900	+	yjbFGH
ygaM	ygaMp	2800121		ygaM	2800146	2800475	+	ygaM
dsrB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dsrB	2024635	2024823	-	dsrB
relBE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		relB // relE	1645633 // 1645346	1645872 // 1645633	-	relBE
ybaE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybaE	465612	467312	-	ybaE
ibaG-murA	ibaGp1	3336833		murA // ibaG	3335235 // 3336549	3336494 // 3336803	-	ibaG-murA
mdtNOP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mdtN // mdtO // mdtP	4303078 // 4301027 // 4299564	4304109 // 4303078 // 4301030	-	mdtNOP
ygcNOP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygcP // ygcO // ygcN	2894196 // 2893919 // 2892657	2894771 // 2894179 // 2893928	+	ygcNOP
ydgD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydgD	1671960	1672781	+	ydgD
ybaL	ybaLp	503295		ybaL	501562	503238	-	ybaL
yfgM	yfgMp1	2639433		yfgM	2638663	2639283	-	yfgM
epmA	epmAp	4382618		epmA	4382643	4383620	+	epmA
mdtK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mdtK	1743457	1744830	+	mdtK
ydhP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydhP	1736121	1737290	-	ydhP
peaD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		peaD	566376	566687	+	peaD
nanCMS	nanCp	4539928		nanS // nanM // nanC	4536614 // 4537659 // 4538785	4537594 // 4538765 // 4539501	-	nanCMS
menA-rraA	menAp1	4120398		rraA // menA	4118845 // 4119423	4119330 // 4120349	-	menA-rraA
ytfI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ytfI	4437707	4438645	+	ytfI
rpsLG-fusA-tufA	rpsLp	3474621		tufA // fusA // rpsG // rpsL	3470145 // 3471400 // 3473542 // 3474178	3471329 // 3473514 // 3474081 // 3474552	-	rpsLG-fusA-tufA
ygeH	ygeHp10	2991879		ygeH	2992094	2993470	+	ygeH
kdgR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kdgR	1909308	1910099	-	kdgR
ppsR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ppsR	1787445	1788278	+	ppsR
ybdK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybdK	606265	607383	-	ybdK
serC	serCp2	957579		serC	957653	958741	+	serC
insC6CD6D6		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insD6 // insC6 // insCD6	4498595 // 4498272	4499500 // 4498637	+	insC6CD6D6
thiCEFSGH	thiCp	4196281		thiS // thiH // thiG // thiF // thiE // thiC	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).	thiCEFSGH
mocA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mocA	3015160	3015738	+	mocA
dnaTC	dnaTp	4601615		dnaC // dnaT	4600238 // 4600978	4600975 // 4601517	-	dnaTC
ydjE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydjE	1852621	1853979	-	ydjE
ybeF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybeF	660425	661378	-	ybeF
iclR	iclRp	4223652		iclR	4222804	4223628	-	iclR
sibC	sibCp	3056851		sibC	3056851	3056991	+	sibC
nanS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nanS	4536614	4537594	-	nanS
pflB	pflBp3	953741		pflB	951272	953554	-	pflB
ygfI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		srsR	3066277	3067173	-	ygfI
